Time,CenterOfMassX,CenterOfMassY,CenterOfMassZ,RotationAngle,WeightPositionX,WeightPositionY,WeightPositionZ
319.5472,-0.01191533,0.9973779,0,58.99129,-0.1128292,0.9798808,0
320.5474,-0.01191209,0.9973275,0,59.18209,-0.1127672,0.9794945,0
321.5487,-0.01190879,0.9972773,0,59.37289,-0.1127039,0.9791085,0
322.5514,-0.01190543,0.9972269,0,59.56371,-0.1126395,0.9787225,0
323.5525,-0.01190201,0.9971765,0,59.75452,-0.1125739,0.9783368,0
324.5551,-0.01189853,0.9971262,0,59.94534,-0.1125071,0.9779512,0
325.5553,-0.01189498,0.9970759,0,60.13617,-0.1124391,0.977566,0
326.5577,-0.01189137,0.9970257,0,60.32694,-0.11237,0.9771811,0
327.5606,-0.01188763,0.9969746,0,60.52159,-0.1122983,0.9767888,0
328.5632,-0.0118839,0.9969243,0,60.7124,-0.1122268,0.9764043,0
329.5643,-0.0118801,0.9968745,0,60.9032,-0.1121541,0.9760204,0
330.5646,-0.01187625,0.9968243,0,61.09402,-0.1120802,0.9756364,0
331.5656,-0.01187234,0.9967743,0,61.28479,-0.1120052,0.9752528,0
332.5657,-0.01186836,0.9967243,0,61.47564,-0.111929,0.9748694,0
333.5676,-0.01186433,0.9966742,0,61.66642,-0.1118516,0.9744862,0
334.5706,-0.01186022,0.9966244,0,61.85729,-0.111773,0.9741035,0
335.5722,-0.01185607,0.9965745,0,62.04803,-0.1116934,0.9737211,0
336.5728,-0.01185185,0.9965246,0,62.2389,-0.1116125,0.9733388,0
337.5744,-0.01184757,0.9964746,0,62.42965,-0.1115304,0.9729567,0
338.5747,-0.01184322,0.9964249,0,62.62054,-0.1114472,0.9725751,0
339.5772,-0.01183882,0.9963754,0,62.81127,-0.1113628,0.9721941,0
340.5774,-0.01183436,0.9963256,0,63.00215,-0.1112773,0.9718129,0
341.5805,-0.01182975,0.9962751,0,63.19668,-0.1111889,0.9714249,0
342.5834,-0.01182516,0.9962253,0,63.38757,-0.1111009,0.9710443,0
343.5837,-0.01182051,0.9961756,0,63.57832,-0.1110119,0.9706642,0
344.5873,-0.0118158,0.9961264,0,63.76919,-0.1109217,0.9702846,0
345.5894,-0.01181104,0.9960769,0,63.95993,-0.1108303,0.9699054,0
346.5896,-0.01180621,0.9960273,0,64.15078,-0.1107378,0.9695261,0
347.5904,-0.01180132,0.9959778,0,64.34156,-0.1106441,0.9691473,0
348.5905,-0.01179637,0.9959285,0,64.53242,-0.1105492,0.9687689,0
349.5936,-0.01179136,0.9958792,0,64.72318,-0.1104532,0.9683909,0
350.5949,-0.01178629,0.9958301,0,64.91402,-0.110356,0.9680134,0
